,0
고백,장범준
Permission to Dance,방탄소년단
좋아좋아,조정석
지금 말해볼게요 (낮에 뜨는 달 X 거미),거미
Weekend,태연 (TAEYEON)
바라만 본다,MSG워너비(M.O.M)
넌 좋은 사람,SG워너비
Butter,방탄소년단
Next Level,aespa
신호등,이무진
Alcohol-Free,TWICE (트와이스)
Bad Habits,Ed Sheeran(에드 시런)
나비가 날았습니다,김민석 (멜로망스)
뚫고 지나가요,DAY6 (Even of Day)
치맛바람 (Chi Mat Ba Ram),브레이브걸스(Brave Girls)
Dun Dun Dance,오마이걸(OH MY GIRL)
하루만 더,빅마마(Big Mama)
비와 당신,이무진
벌써 일년,브라운 아이즈(Brown Eyes)
헤픈 우연,헤이즈(Heize)
비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
STAY,The Kid LAROI
나를 아는 사람,MSG워너비(정상동기)
밤이 되니까,원슈타인
ASAP,STAYC(스테이씨)
나는 너 좋아,장범준
난 너를 사랑해,MSG워너비
안녕 (Hello),조이 (JOY)
롤린 (Rollin'),브레이브걸스(Brave Girls)
Dynamite,방탄소년단
OHAYO MY NIGHT,디핵(D-Hack)
Celebrity,아이유(IU)
라일락,아이유(IU)
운전만해 (We Ride),브레이브걸스(Brave Girls)
Tiny Riot,Sam Ryder
Piano Man,황린
내 손을 잡아,아이유(IU)
상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)"
사랑하지 말걸 그랬나 봐요,딘딘 (DINDIN)
가을 우체국 앞에서,김대명
Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
한여름밤의 꿀 : 다시 여름,San E(산이)
추적이는 여름 비가 되어,장범준
오르막길,정인
Kiss Me More (feat. SZA),Doja Cat(도자 캣)
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
Timeless,SG워너비
해야 해,2PM
Leave Before You Love Me,Marshmello(마시멜로)
내 입술 따뜻한 커피처럼,청하
Break My Heart Myself (feat. Travis Barker),Bebe Rexha(비비 렉사)
Off My Face,Justin Bieber(저스틴 비버)
Loving You Girl (feat. Hkeem),Peder Elias
커플,오하영 (에이핑크)
어푸 (Ah puh),아이유(IU)
Black Mamba,aespa
다시 사랑할 수 있을까,백지영
Hello Future,NCT DREAM
난 괜찮아,빈센트
다정히 내 이름을 부르면,경서예지
러브 (Prod. 로코베리),로꼬
Eler Eler,호치키스 (김호진)
Dolphin,오마이걸(OH MY GIRL)
여보세요 (Hello) (Feat. Okasian),TAEO
WE GO,프로미스나인
해바라기,SG워너비
삠삠 (BEAM BEAM),전소연
마.피.아. In the morning,ITZY (있지)
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
우리의 노래,SG워너비
Leave The Door Open,Bruno Mars(브루노 마스)
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
Blueming,아이유(IU)
Lovesick Girls,BLACKPINK
주말이 싫어졌어 (Duet with 김재환),HYNN(박혜원)
허리춤,오반 (OVAN)
Coin,아이유(IU)
Way Back Home (2021),런치
Life Goes On,방탄소년단
에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
멜로디,ASH ISLAND
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
On The Ground,로제(ROSÉ)
Save Your Tears (Remix),The Weeknd(위켄드)
2002,Anne-Marie(앤 마리)
우리집,2PM
parachute,John K
과제곡 (교수님 죄송합니다),이무진
Little By Little,정인
라라라,SG워너비
Beautiful Mistakes,Maroon 5(마룬 파이브)
내사람: Partner For Life,SG워너비
좋을텐데 (If Only) (Feat. 폴킴),조이 (JOY)
잠이 오질 않네요,장범준
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
서울의 잠 못 이루는 밤 (Feat. 이수현),10CM
너를 기억한다,지아(Zia)
Beautiful,Anne-Marie(앤 마리)
